fra	nnb
Tu vas droit en enfer.	Ukaya omo muliro wa sitani.
La vie est la tombe dans laquelle je tourne et me retourne.	Amaisa ni kaburi omweko ni binduka neri binduka biro biosi.
Un diable est une sorte de petite terrine.	Esitani ni muhanda wa kabisamo.
J'ai toujours voulu monter le mont Fuji.	Nyianzire eri sambir'oko kitwa kia Fuji.
Ils viennent tard.	Bakasa ndangaliri.
Le mouvement gagne rapidement du terrain.	Ekikumula kine mwasa kika hika ahosi hano.
Vous ne savez jamais où vous aurez de la chance.	Siwanga minya aho ukendi bana akabahati.
Comme il était déjà tard, je suis allée dormir.	Ngoko esio saha siama laba, mona yiretho.
Les cours vont reprendre au Lycée Agricole.	Akalasi kakendi tsuka okokiyiro ekio bulimi .
Après le combat, la moitié d'une bouteille resta sur la table.	Enyuma siamalwa, enusu yetsupa moyuthikire oko mesa.
Restez en contact s'il vous plait !	Mubie imune mukania kissi kissi !
Quand la porte coulissante s'est ouverte, il a failli tomber sur le quai.	Omughulu oluyi lwayi kingula, mwa takeri yi tinira oko kibandiko.
Ils commençaient à perdre foi en leur commandant.	Alwe iniamabitsuk'eri heria amaha akabaha ebieri kola.
On se sent comme dans un rêve.	Thukayowa nga thunemonzoli.
Je te promets que j'expliquerai tout plus tard.	Ngaku lagha ngoko ngendi ku bwira ebiosi bio ndagaliri.
Est-ce que vous pourriez expliquer la situation dans laquelle vous vous trouviez ?	Wangana bugha ebio hulimo lino ?
Les toilettes des messieurs se situent au premier étage.	Esyo wc syaba sermala sine oko ndatha aho.
En effet, Ethan a menti.	Nibwambu, Ethan mwaka theba.
Tu penses ça sérieusement ?	Ukalhengekanaya kio kabissa ?
Dans la petite chambre sous les toits, ils ne trouvèrent que des vieilleries bonnes à jeter.	Omo kumba kake emwisi wamanzanza,mobabanire ebindu ebiekera, ebio banga ghuswa bisa.
Vous n'auriez pas dû me suivre.	Simwanga ngwamire.
Celui qui emploie la technique du saucissonnage, peut atteindre un objectif important par petites tranches ou petites exigences.	Oyukakolesaya eri twa twa ebindu, angana hika oko kindu kibuya butsir'i luha.
Tenez votre langue ou vous serez puni.	Imaya olulimi lwaghu, kutse bakendi ku hunza.
Oui mon colonel !	inga mu colonel !
Lorsque j'affirme avoir tué une panthère sans autre secours qu'un couteau, cela signifie que je n'avais pas de chiens avec moi et, que je ne me suis pas servi de carabine.	Omughulu nyiria bugha nyithi mongitha e ndale butsira muhamba, ekio kibuhire kithi sinabia ngwithe esyombwa naghe na, sinyithitha langira akarabiya.
Es-tu avec le FBI ?	Ukine ne FBI ?
Je pense que vous devriez vérifier sous le lit.	Nga lhengekanaya nyithi mwangana lhebire emwisi wenjingo yiwe.
Restez en position !	Mubie imuna lindire !
Quand Hugo a eu soixante ans, il est devenu directeur général.	Omughulu Hugo akokaya ebirimo makumiandathu, mwalu nabia omu dilekterere mukulu.
Dan fut tué deux jours avant l'ouverture du procès.	Dan mwithibwa ebiro bibiri embere erisamba ritsuke.
Luca était parmi mes meilleurs amis au lycée.	Luca alwe oko bira baye babuya oko kiyiro  kabakali.
Heather me croit.	Heather aka nikiririamo.
Il me semblait que la beauté était pareille à un sommet de pic de montagne ; une fois atteint il ne reste plus qu'à descendre.	Alinga obubuya bulingobweruka obwe kithwa; wabihikoko ndulya, ngamb'iwiruka.
Si vous ne partez pas immédiatement, je vais devoir appeler la sécurité.	Wamabitha ghenda luba, ingandi birikira abaka lebaya obusosotyo.
J'ai utilisé une photo de mon chien comme fond d'écran.	Monga kolesia ekikasasamira ekiembwa yaye oko syo telephone syabo.
Il est parti aux toilettes, il va revenir.	Amabiya oko kabinet, akandi subeno.
Il est revenu deux jours plus tard.	Mwakasa ebiro bibiri biabi hwa.
N'hésitez pas à poser des questions si vous ne comprenez pas.	Simughubahe eri ni bulia ebiosi ebio simuthe owa.
J'en ai assez de tes conneries stupides.	Namabiluha busana nebithabithia biaghu.
La prise de poids est la méthode de développement personnel la plus simple.	Eri neneha riaghu nikokia erikula rieghu rieghu.
Il ressemble à sa tante.	Asosire songali wiwe.
""" Cinq ! "" A dit Alex."	"""Vithano ! "" Mwabuhire Alex."
Le risque de confusion est trop élevé, je ne dois sûrement pas être la seule, à ne pas piger ça.	Eribererera yiri ndata, ngambe isinibie inju wene, eri sambirakio.
Il dit n'avoir aucun souvenir de la soirée.	Akabugha athi siethithibuka nekindu ekialaba omo kiro munye.
Vous trouvez ça marrant ?	Kianama tsemesya ?
Je ne sais pas à qui en revient la faute.	Siniasi nga nyindi yothukendi tsongera.
Nous arriverons à 2h30 et Marie arrivera un peu plus tard.	Thukehika oko 2h30 na Marie akandi hika aho nyuma hake.
Pourquoi t'es-tu mise de son côté plutôt que du mien ?	Busanaki moghuka mwimira butsir'inje  ?
Je suis désolée de ne pas t'avoir envoyé un courriel plus tôt.	Nganyire okwibya monyithitha ku tumira enzakano yo luba.
Ne tourne jamais le dos à Louis.	Sinyiri ha omughongo yo Louis.
Je ne pense pas que Timéo sache pourquoi Alice est allée à l'hôpital.	Sinyi lhengekenie nga Timéo assi ngoko Alice ayire oko lupitali.
Pour être heureux, vous devriez passer du temps avec quelqu'un que vous aimez.	Okwibia ndeke, ngambiwa labia ndambi nomundu oyo wanzire.
Ouais, c'est ce que j'ai dit.	Inga, kio nilia bugha.
Ce spectacle de Carthage irritait les Barbares. Ils l’admiraient, ils l’exécraient, ils auraient voulu tout à la fois l’anéantir et l’habiter.	Emitsange eyi eye Carthage yikandi hithania abaka kenderaya. Babia baka musamalira, ibane mumutsangia, banganzire erimu bughaho.
Lorsqu'une femme reste trop longtemps esseulée, tôt ou tard elle commence à penser; et nul homme ne sait ce qu'elle pourrait découvrir.	Omughulu omukali akasighala ndambi nyingi inia nikere kienekiro kighuma akandi sya tsuka eri lhengekania; na sihali nomundu nomuyima oyu kandisya ibuka kio athia.
Elles se sont rencontrées à une rencontre surprise.	Mobasangene isiba yi lindire.
L'officier encouragea ses hommes à faire preuve de bravoure.	Omukulu aka hira amaha omo balume biwe athi babienomuhwa.
Dans l'enquête d'opinion, les deux partis sont à égalité.	Omoburorotsyo bye binywa, esyombande syosi silwe isiri oko hali nguma.
Je ne dirai jamais à personne où j'ai caché le trésor.	Sinyendisya bugha oko mundu nomughuma aho abisire ekindu kiwe.
Tu n'aimes pas les histoires d'amour.	Sighuanzire emiatsi yoluthetho.
Je m'attendais à moitié à ce que ça arrive.	Nyilwe ngayi lindirira .
J'ai mal au dos du fait que je sois assis de longues heures devant l'ordinateur.	Nganowa omughongo akaluma okwibia inianga ikala eyondambi siri embere .
Sarah, peux-tu fermer les volets ?	Sarah, wangana kinga oluyi ?
Voulez-vous absolument mener votre grossesse à terme ?	Wangana hikia obukule bwaghu oko ndulia ?
Je trouve que Tatoeba, pour nous amoureux des langues, est devenu un lieu très chaleureux et intime, en particulier pour tous ceux d'entre nous qui peuvent comprendre et apprendre des langues relativement rapidement et facilement.	Ngaghehaya e Tatoeba, okwithwe twanzane nesyondime, abiribia inia huhuhire kutsibu, kanji kanji oko bosi abokwitwe abangana owa kio nerigha emibughe yo luba luba na bweghu bweghu.
Tony se trouvait à l'entrée.	Tony abia oko luyi.
Au tribunal, ils ont nié avoir forcé le jeune et se sont justifiés en disant qu'il n'avait jamais réagi ou protesté.	Oko tribunal, mobaka ghana bathi sibeta kasha kasha omusika nero mobaka bugha bathi sibali bata kolakio nekiro kighuma.
La confrontation des témoins qui l'avaient rencontrée le jour de sa mort devait aider l'inspecteur.	Eribahiro haghuma rikandi reka itwaminya ngabana biaho ekiro kio bwithi, mwabiyire athia omukulu wa kiyiro.
Il se retrouve sur la corde raide.	Alioko muliki ogho musohe.
Est-ce que le dernier test de bombe atomique signifie la guerre ?	Nero Erikola ekinzamen ekiendulia ekie bombe nibwambu malwa kwe ?
Mon frère gagne moitié moins d'argent que mon père.	Mughala wethu akasinga enusu yesio franca kulenga thatha waghe.
Restez ici, je vais revenir.	Musighale hano, ngandiasa.
Vous êtes un drôle de type.	Ghuli mundu hali athi.
Il refuse de croire que l'un de mes frères est responsable de la mort de mon père.	Akaghana erinyikiriria ngoko omughuma ghoko baghala bethu okwihola ria thatha waye.
Le pain est l'aliment le plus simple et le plus ancien du monde.	Omukati bie biala bike na biasibwe okwilwa kera omokihuho.
J'ai dit: « Stop ! »	Munga bugha : « Nyithi koko ! »
Au paresseux donnez un œuf, il vous dira de l'écaler.	Okobaghta mwangana ha eriyaya, bakandi eria rio.
Je veux que tu restes ici jusqu'à ce que je revienne.	Nianzire nyithi ngamb'iwa sighala hano eri hik'oko ndambi eyo ngandi subula.
Ma sœur adore la corde à sauter.	Mwali wethu anzire omulube.
Un combat dure à peu près cinq minutes.	Amalwa siali laba oko sio dakika itanu.
Ben a adjoint Ken à Théo.	Ben mwak'ongeraya Ken oko Théo.
Si l'œil ne voit pas parfaitement, un couteau aiguisé est inutile.	Eriso riamabia isiri langira ndeke, omuhamba oyu tsongirwe siaghwithe endundi.
En veux-tu un simple ou un double ?	Wanzire kayima kutse hibiri ?
Le personnage principal de cette émission est un écureuil parlant.	Omundu owe limbere omo kihindi eki, nikbukulu eki bugha binene.
Officiellement, on ne dénomme « miel en rayon » que les morceaux de nids d'abeilles avec du miel de bruyère.	Burorora, bakahulamo « obuchi bwomo nzira » ehindoho ndoho ehie syo nzuki nobuki bwe bruyère.
Plusieurs danseurs se déhanchaient sur la grande piste de danse.	Abasathi bangi balwe baka yi twa bakasatha.
J'ai vécu notre vie de couple comme un enfer.	Amaisa wethu wobunyumba mona isiwo nga nyirie wa setani.
Chaque camp devra se composer d'au moins quinze personnes.	Obuli luhande ngambe ilwabiamo bandu kumi na tano.
Si tu n'es pas ici pour m'aider, dégage !	Ghute hano okwingwathithia, ulu ghughende!
Tu penses que tout ça est une sorte de canular ?	Ukalhengekanaya ghuthi ebiosi ebi ni bitia bitia?
La flèche est passée loin de la cible.	Erithumo moria labire hali oko oyu balwe baka ronda.
Ne l'en rends pas responsable.	Sighumwimye mo oyo oghuliakolakio.
Elle est d'un naturel joyeux.	Atsemesirie erilwa oko lubutho lwiwe.
S'il y a quoi que ce soit que vous vouliez faire, vous devriez le faire.	Hamabia kindu ki, kutse kilebe ekio mwanzire eri kola, mwanga kolirekio.
Vous pensez que vous êtes assez marrant, non ?	Ulhengekenie uthi utsemesirie kwe, iyehe ?
Vous voulez un taxi ?	Wanzire inia kwimiria engurubani ?
J’ai besoin d’aide pour mettre à niveau le système d’exploitation de mon appareil afin de me protéger des dernières cybermenaces.	Nyilaghire inyia hira oko hali nguma ebindu ebio ebilebire ekisengula kiaghe ngambi isikia biako bakurungu.
Parfait. Je vous remercie.	Ghuthia. Nama ku sima.
Mettez vos bonnes chaussures.	ghumbale ebiriato ebiowene.
Cette souris a été tuée par mon chat.	Embukuli eyi moyithibwe nolubundu lwaghe.
Il est rentré tard hier.	mwakasubula ndangaliri muligholo.
Si vous allez présenter vos excuses, vous devriez le faire sans délai.	Wamabi sonda eri saba obughanyiri, ngambiwakolakio luba.
Il s'est couché sur le dos.	Mwaka ghotserer'oko mughongo wiwe.
Disons simplement que je suis là pour rester.	Thubughe tuti nandiho okwi shighala.
La soutane du prêtre gonflait doucement au vent.	Ekanzu yo mupe yilwe ika bimbir'emwisi omorihunga.
N'ouvrez jamais la porte d'un véhicule en marche.	Isimwakingula oluyi olwomutoka inianemu ghenda.
Mon maître de conférences a dit qu'une bonne connaissance de l'analyse numérique, du calcul stochastique et de la programmation en C++ est importante pour un emploi dans la banque.	Omwimaniri we bisenge ebio bwikalo mwakabugha athi anaasi ngoko bakandi kola eri tsopolia neri kuma kuma esyo C++ nikyendundi oko buli banki.
J'essayais de faire semblant d'être quelque chose que je n'étais pas.	Nyilwe ngayi kassa okwi sossa ekindu ekio nyilwe isinje.
J'ai bien l'impression qu'on va s'amuser ce soir.	Alinga thukandi tsangia tsangia munabwire.
Le soldat a été tué au combat.	Omulasi mwithibwe omo malwa.
Il a frappé la balle avec la batte.	Mwakaghunza akaghulu ghulu nekithole.
Quand Nathan arriva à la gare, Marie venait déjà à sa rencontre.	Omughulu Nathan ahika oko parakingi, Marie alwe akasa hanaho okwihindana naye.
Ce type est un raté.	Omulume oyu alioko bathala.
Le mariage royal était un grand spectacle.	Endwa yo mwami nikisendebele kinene kutsibu.
Ne paraissez pas si surprise ! Vous savez que je peux faire tout ce que je veux.	Isughubawa eribianga ghukendi sweka ! Munaaasi ngoko nina paswerikola ebio nianzire.
L'avantage que tu peux trouver à un emploi au bas de l'échelle, c'est qu'il laisse largement la place à l'amélioration.	Wangana bana ekieri kola aho ahissi, nikwa aka siha akathambi oko oyu kandi kola ndeke.
Ça ira tant que je reste debout, non ?	Kikandi ghuwana nyina bia inyinime, kobine ?
« Marie, le café est trop fort pour moi. » – « Oh, je suis désolée. Prends peut-être un peu de lait. »	« Marie, akawa ka kalire okwinje. » – « Oh, nganyire. Ghunywe amathe make. »
Mon rêve parlait d'aquariums et d'armes sous-marines.	Enzoli yaghe yilwe yika bugh'oko aquariums noko syombundu syomo maghetse.
Nous confions le méchant à Dieu, afin qu’Il le dirige ou le châtie.	Thukaha abatsibu boko nyamuhanga, nero mo iniamu sondolya kutse inamu hunza.
Il refuse de porter ce costume sans une cravate bleue.	Akaghana erimbala erikothi butsirakarvante ake musohe.
Son carnet d'adresses ne comportant pas beaucoup de noms, il serait facile pour la police d'établir la liste des suspects.	Elibuku liwe liswiremo amena manji, kiangana olobirie oko ba polissi okwi bana amena waba ka thikathikawako.
Je me demandais si tu aimerais aller au bal avec moi.	Nyilwe ngayi bulia ngowanzire eriya oko kisendebele naye.
Je suis désolée si ma présence t'embarrasse.	Unganyire eribiaho riaghe riama bia irika kutsandayako bwenge.
J'étais en retard, car j'étais sûre que les cours commençaient plus tard.	Nyilwe inyabiri tselewa, kundi nyinalwe inaasi ngoko akalasi kakendi tsuka ndangaliri.
Quelle est votre type d'art préféré ?	Wanzire emitsange ya muhanda wahi ?
Peut-être que toi ou moi pouvons amener du changement à ce monde si froid.	Alinga iwe nanje twangana leta eribindul'ekihuho kino.
Le professeur a écrit un bref commentaire sur l'épreuve de chaque étudiant.	Omughalima mwaka saka akandekerano kakuhi oko buli kinzamen kiobuli mukolo.
Je pense que Thomas pourrait être amené à proposer son aide.	Ngalhengekanaya Thomas akandi lheta obuwathikya bwiwe.
Reviens immédiatement !	Ghuluwase !
Ceci est le résultat de toute une vie de recherches.	Kino nikihuma kieribiaho riosi rio busosotyo.
Je suis arrivé trop tard pour entendre son discours.	Mongahika ndangaliri okwibya inangana owa eribugha riwe.
Ce couple ne se dispute pas souvent maintenant, mais auparavant ça arrivait souvent.	Abandu banobanzene sibalilwa kanji kanji, alicho, embere biabia ibika hika ebiro biosi.
"Tu l'appelles ""Louis."""	"Uka ghulawamo ""Louis."""
Écoute encore une fois le disque et dis-moi plus tard si tu l'aimes.	Thania eri hulikirira akalikiliki, nero umbwire nga wanama anzako.
Je t'aiderai de toutes les manières que je pourrai.	Ngandisya kuwathikia ngoko nangana thoka.
Pourquoi as-tu voulu revenir ici ?	Busanaki moghukanza eri suba hano ?
Vous êtes une très bonne secrétaire. Si vous ne vous étiez pas occupée de tout, je n'aurais rien pu faire. Vous êtes formidable.	Ghuli mu secretere oyughwene. Wangabere isighuthe ekieri kola, sinanga kolire kindu. Ghulwire iwakala.
Il a frappé doucement à la porte.	Mwaka kongotha oko luyi liolo liolo.
Les plantes que nous utilisons pour notre production, la communauté des médecins la connaît et l'utilise déjà depuis des centaines d'années.	Emibatsi eyo thuka kolesaya omo erima rietu, abanganga banaasi rio nabaka ri kolesya hamabi hwa emiaka minene.
Vous devriez vraiment vous faire couper les cheveux.	Ngambiwatwa esyo nzwiri syaghu.
La viande est facilement séparée des os.	Enyama yikana lusibawa bweghu bweghu oko mikuha.
Je vous trouve bien à la coule dans ce job.	Ngaku langira ndeke omo mubiri waghu oyo.
C'est un type sur qui on peut compter.	Omundu oyu, nimundu oyo twangana hirako amaha.
Son long cou ressemble à celui d'un cheval.	Ebikya biwe bisosene nebie punda.
Gabriel a été escorté hors du bâtiment par des agents de sécurité.	Gabriel mwaka kwamanisibawa ahihia nabakulu bobusosotyo.
