fra	swc	swc_clean
Je ne leur répète pas l’explication.	Sitawafasiria tena.	Sitawafasiria tena.
Après avoir travaillé longtemps, je peux enfin me reposer un peu.	Kisha kufanya kazi kwa muda murefu, naweza kupumzika kidogo.	Kisha kufanya kazi kwa muda murefu, naweza kupumzika kidogo.
J'ai volé un flingue.	Niliiba bunduki.	Niliiba bunduki.
Ces pilules apaiseront la douleur.	Hizi ma dawa za kunywa zitapunguza maumivu.	Hizi ma dawa za kunywa zitapunguza maumivu.
Nous avons trouvé une grande empreinte de pas et quelques unes plus petites, de différentes tailles.	Tuliona alama kubwa ya migulu na zingine za kidogo kidogo, za unene tafauti.	Tuliona alama kubwa ya migulu na zingine za kidogo kidogo, za unene tafauti.
Le nom de la victime a été identifié par la police.	Jina ya muhanga ilijulikana na polisi.	Jina ya muhanga ilijulikana na polisi.
C'est comme ça que Scott et ses hommes sont arrivés au pôle Sud.	Hivi njo Scott na kikosi yake walifika kwenye ngambo za kusini.	Hivi njo Scott na kikosi yake walifika kwenye ngambo za kusini.
Tu es libre et personne n'a le droit de contrôler tes actions ici.	Uko huru na hakuna mtu aliye na haki ya kuchunguza matendo yako hapa.	Uko huru na hakuna mtu aliye na haki ya kuchunguza matendo yako hapa.
C'est l'évidence même; ça se voit comme le nez au milieu de la figure !	Hii ni ukweli kabisa; inaonekana wazi kama pua katikati ya sura!	Hii ni ukweli kabisa; inaonekana wazi kama pua katikati ya sura!
« Tu ne m'aimes pas, hein ? » « Non. » « Bien, tu m'aimes, hein ? » « Pourquoi tu le demandes ? »	« Haunipendi, si ndiyo? » « Hapana. » « Sawa, unanipenda, si ndiyo? » « Juu ya nini unauliza? »	« Haunipendi, si ndiyo? » « Hapana. » « Sawa, unanipenda, si ndiyo? » « Juu ya nini unauliza? »
La lecture est importante. Si vous savez lire, alors le monde entier s'ouvre à vous.	Kusoma ni kitu muhimu. Kama unajua kusoma, basi dunia yote iko wazi kwako.	Kusoma ni kitu muhimu. Kama unajua kusoma, basi dunia yote iko wazi kwako.
Veuillez utiliser notre numéro gratuit pour les appels concernant les marchandises.	Tafazali tumia numero yetu ya bure juu ya kupiga simu kuhusu biashara.	Tafazali tumia numero yetu ya bure juu ya kupiga simu kuhusu biashara.
Va tout droit et tu trouveras la gare.	Enda moja kwa moja mbele na utaona kituo.	Enda moja kwa moja mbele na utaona kituo.
Je veux réduire le temps que prend le traitement des dossiers.	Nitapunguza wakati yenye inahitajika juu ya kushughulikia kesi.	Nitapunguza wakati yenye inahitajika juu ya kushughulikia kesi.
Assurez-vous que les jouets de votre bébé ne comportent pas de petits éléments, de sorte qu'il ne risque pas de les avaler et d'en suffoquer.	Hakikisha bitu ya mtoto bya kuchezea wako habina mu bitu budogo budogo juu isitue abimeze na kukohola.	Hakikisha bitu ya mtoto bya kuchezea wako habina mu bitu budogo budogo juu isitue abimeze na kukohola.
Tu me rappelles quelqu'un que je connaissais.	Unanikumbusha mtu mwenye nilikuwa nafahamia.	Unanikumbusha mtu mwenye nilikuwa nafahamia.
Je suis ravie de te rencontrer enfin.	Nimefurahi kukutana na weye.	Nimefurahi kukutana na weye.
Pouvez-vous au moins faire semblant de vous amuser ?	Unaweza basi kujifanya unafurahi?	Unaweza basi kujifanya unafurahi?
Elle s'écarta de moi pour cacher une larme qui avait commencé à couler sur sa joue.	Alienda mbali yangu kwa kuficha machozi yenye ilikua imeanza ku mwangika ku machafu yake.	Alienda mbali yangu kwa kuficha machozi yenye ilikua imeanza ku mwangika ku machafu yake.
J'aimerais voir un spectacle de danse. Pourriez-vous m'informer?	Ningependa kuona spectacle ya danse. Unaweza kuniambia?	Ningependa kuona spectacle ya danse. Unaweza kuniambia?
Pendant que les USA sont complètement polarisés sur le droit à détenir des armes à feu, les dingues de tout bord arrosent leur population avec des armes et des munitions de plus en plus puissantes.	Wakati Marekani inaweka muda yote kushughulikia haki ya kuwa na bunduki, watu wasiyo kuwa na akili sawa kutokea sehumu tafauti wanauzishia raia wao bunduki na masasi yenye kuwa na nguvu zaidi.	Wakati Marekani inaweka muda yote kushughulikia haki ya kuwa na bunduki, watu wasiyo kuwa na akili sawa kutokea sehumu tafauti wanauzishia raia wao bunduki na masasi yenye kuwa na nguvu zaidi.
Marie était la meilleure amie de Kate, au lycée.	Maria alikuwa rafiki wa karibu wa Kate, katika shule ya sekondari.	Maria alikuwa rafiki wa karibu wa Kate, katika shule ya sekondari.
Evidemment Jules ne vint pas.	Jules hakukuyaka.	Jules hakukuyaka.
Il s'agit là d'un cas d'école qui démontre, si besoin était, la nécessaire collaboration des autorités par delà les frontières nationales, ainsi que les moyens à mettre en œuvre.	Hii ni hali ya masomo inayo onesha, kama ni lazima, ushirikiano muhimu ya wakubwa wa inchi kwenye mipaka ya kitaifa, na vile vile mambo ya kufanya.	Hii ni hali ya masomo inayo onesha, kama ni lazima, ushirikiano muhimu ya wakubwa wa inchi kwenye mipaka ya kitaifa, na vile vile mambo ya kufanya.
On calcule en absolu ou en relatif. La différence est énorme et peut occasionner, pour des investisseurs ou des politiciens, des erreurs de jugement considérables, dans leur processus de décision.	Mtu anahesabu kwa jumla au kwa upekee. Tofauti ni kubwa sana na inaweza kusababisha makosa kubwa ya uamuzi kwa wawekezaji ao wanasiasa katika njia yabo ya ku fanya maamuzi.	Mtu anahesabu kwa jumla au kwa upekee. Tofauti ni kubwa sana na inaweza kusababisha makosa kubwa ya uamuzi kwa wawekezaji ao wanasiasa katika njia yabo ya ku fanya maamuzi.
Tu peux compter sur lui. Il ne te laissera jamais tomber.	Unaweza kunitegemea. Hatakuacha uhanguke ata siku moja.	Unaweza kunitegemea. Hatakuacha uhanguke ata siku moja.
Avant d'ajouter une nouvelle phrase, vérifiez s'il vous plaît que votre phrase apporte bien du nouveau vocabulaire en recherchant les mots-clés.	Mbele ya kuongeza musemo mupya, tafazali angalia kama musemo yako inaongeza vocabulaire mupya kwa kutafuta maneno muhimu.	Mbele ya kuongeza musemo mupya, tafazali angalia kama musemo yako inaongeza vocabulaire mupya kwa kutafuta maneno muhimu.
La grenouille que la princesse a embrassé est devenue prince.	Chura yenye binti wa falme alibusu iligeuka mtoto wa mufalme.	Chura yenye binti wa falme alibusu iligeuka mtoto wa mufalme.
Je suis pratiquement sûre que Maxime n'a pas de frère.	Niko na uhakika kama Maxime hana kaka.	Niko na uhakika kama Maxime hana kaka.
Une fois que le cheval s'est enfui, c'est trop tard pour fermer la porte de l'écurie.	Wakati tu farasi ilitoroka, ilikuwa tayari nyuma sana kufunga mulango wa nyumba ya farasi.	Wakati tu farasi ilitoroka, ilikuwa tayari nyuma sana kufunga mulango wa nyumba ya farasi.
Les personnages de ce roman sont fictifs. Ainsi toute ressemblance de nom, de situation ou de circonstances avec une personne réelle n'est que pure coïncidence et est indépendante de la volonté de l'auteur.	Batu ya mwa iyi roman ni wa bongo. Kwa hivyo kufanana kwa jina, hali ao wakati na mtu wa kweli ni bahati mbaya tu na haitokani na mapenzi ya mwandishi.	Batu ya mwa iyi roman ni wa bongo. Kwa hivyo kufanana kwa jina, hali ao wakati na mtu wa kweli ni bahati mbaya tu na haitokani na mapenzi ya mwandishi.
Si vous écoutez sagement mes instructions, vous gagnerez du temps.	Ukisikiliza mashauri yangu kwa busara, utaokoa wakati.	Ukisikiliza mashauri yangu kwa busara, utaokoa wakati.
Comme tout jeune qui se respecte, je parle un français sujet à caution.	Kama kijana yeyote anaye jiheshimu, nazungumza Kifaransa na uangalifu.	Kama kijana yeyote anaye jiheshimu, nazungumza Kifaransa na uangalifu.
Le mélange d'heure tardive, de froidure et d'obscurité n'est absolument pas ma tasse de thé.	Mchanganyiko ya saa za nyuma, baridi na giza sio kikombe yangu ya chai.	Mchanganyiko ya saa za nyuma, baridi na giza sio kikombe yangu ya chai.
Vous vous êtes presque faits écraser par un camion.	Ulikaribia kugongwa na gari ya camion.	Ulikaribia kugongwa na gari ya camion.
Cette chanson commence à me sortir par les trous de nez.	Iyi nyimbo inaanza nitoka mu mapua.	Iyi nyimbo inaanza nitoka mu mapua.
Envoyez des renforts.	Tuma wasaidizi.	Tuma wasaidizi.
Dès que je peux avoir une caméra digne de ce nom, je commencerai à faire des vidéos à mettre en ligne.	Wakati tu nitakuwa na kamera inayofaa, nitaanza fanya video za kutia ku mtandao.	Wakati tu nitakuwa na kamera inayofaa, nitaanza fanya video za kutia ku mtandao.
Les suspects répondront, devant la cour de Sydney, des faits d'importation et de possession de drogues.	Watuhumiwa watajibu kuhusu kuwa na kuingiza madawa ya kulevya kwenye mahakama ya Sydney.	Watuhumiwa watajibu kuhusu kuwa na kuingiza madawa ya kulevya kwenye mahakama ya Sydney.
La puissance de son physique saute aux yeux de tous ceux qui le regardent.	Muvutio yake ya mwili inaonekana kwa wote wanao muangalia.	Muvutio yake ya mwili inaonekana kwa wote wanao muangalia.
Amusez-vous pendant mon absence, mes enfants ; promenez-vous, ou restez devant la maison, comme vous voudrez.	Mujifurahishe wakati siko, batoto yangu; mujitembeze, ao muikale mbele ya nyumba, mufanye gisi munapenda.	Mujifurahishe wakati siko, batoto yangu; mujitembeze, ao muikale mbele ya nyumba, mufanye gisi munapenda.
L'enquête que menait l'inspecteur s'avérait de plus en plus difficile.	Uchunguzi wa inspektere ulionekana kuendelea kuwa nguvu.	Uchunguzi wa inspektere ulionekana kuendelea kuwa nguvu.
J'ai raté une marche dans l'escalier et je crains de m'être foulé la cheville.	Nilikwala wakati nilikuwa natembea ku escalier na niko na hofu labda nilijilumiza ku mgulu.	Nilikwala wakati nilikuwa natembea ku escalier na niko na hofu labda nilijilumiza ku mgulu.
Pour beaucoup, le rêve américain est devenu un cauchemar.	Ku batu mingi, ndoto ya Marekani (reve américain) imegeuka kuwa ndoto mubaya sana.	Ku batu mingi, ndoto ya Marekani imegeuka kuwa ndoto mubaya sana.
Sortir à moitié nue est dégradant.	Kutoka inje nusu uchi ni kujizaraulisha.	Kutoka inje nusu uchi ni kujizaraulisha.
La pollution de l'air est une menace pour notre survie.	Kuchafua mazingira ni tishio ku maisha yetu.	Kuchafua mazingira ni tishio ku maisha yetu.
Le gâteau préféré de Noah est celui avec trois couches de chocolat.	Keki yenye Noah anapendaka zaidi ni ile yenye kuwa na couches tatu za shokola.	Keki yenye Noah anapendaka zaidi ni ile yenye kuwa na couches tatu za shokola.
Je suis votre fidèle esclave, vous le savez; aussi est-ce à vous seule que je puis me confesser.	Miye ni mtumwa wako mwaminifu, unajua kwamba; kwa hivyo ni kwako tu naweza kukiri.	Miye ni mtumwa wako mwaminifu, unajua kwamba; kwa hivyo ni kwako tu naweza kukiri.
Raphaël a jeté ses chaussettes sales sur un tas d'habits dans un coin de sa chambre.	Raphael alitupa soksi zake za buchafu ku lundo ya nguo fasi moja mu chumba yake.	Raphael alitupa soksi zake za buchafu ku lundo ya nguo fasi moja mu chumba yake.
Ce n'est pas à un type arrogant comme toi d'apprécier mon travail. J'ai beaucoup d'amis avec lesquels je collabore pour améliorer mes contributions.	Haiko mtu ma kiburi kama weye njo anaweza furahia kazi yangu. Niko na barafiki bengi benye minashirikiana nabo kwa kuboresha michango yangu.	Haiko mtu ma kiburi kama weye njo anaweza furahia kazi yangu. Niko na barafiki bengi benye minashirikiana nabo kwa kuboresha michango yangu.
Dennis peut-être très sauvage.	Dennis anaweza kuwa mtu wa tabia ya kinyama.	Dennis anaweza kuwa mtu wa tabia ya kinyama.
Hey, calme-toi.	Hee, tulia.	Hee, tulia.
Il est beaucoup plus tard que tu ne le penses.	Ilishakuwa nyuma sana kuliko unavyofikiria.	Ilishakuwa nyuma sana kuliko unavyofikiria.
Tu es un type génial.	Weye ni mutu muzuri.	Weye ni mutu muzuri.
Les deux jeunes gens étaient des amis d'enfance, du même âge, tous deux jolis garçons, mais absolument différents l'un de l'autre.	Hao vijana wawili walikuwa marafiki ba mu butoto, wa umri moja, vijana wenye umbo nzuri, lakini wote wawili walikuwa tafauti.	Hao vijana wawili walikuwa marafiki ba mu butoto, wa umri moja, vijana wenye umbo nzuri, lakini wote wawili walikuwa tafauti.
« Dis un truc en français, pour voir. » « C’est-à-dire, un truc ? » « Je sais pas, un truc, n’importe quoi. » « Bonjour. Merci. Voilà. » « Pfff, t’es trop nul. » « Ben quoi, tu m’as dit de dire n’importe quoi ! »	« Sema kitu mu Kifaransa, tuone. » « Ni kusema, kitu? » « Sijui, kitu, yoyote ile. » « Jambo. Aksanti. Ndo iyo. » « Pfff, weye uko wa bure kabisa. » « Sasa nini, uliniambia niseme kitu yoyote ! »	« Sema kitu mu Kifaransa, tuone. » « Ni kusema, kitu? » « Sijui, kitu, yoyote ile. » « Jambo. Aksanti. Ndo iyo. » « Pfff, weye uko wa bure kabisa. » « Sasa nini, uliniambia niseme kitu yoyote ! »
Les arabes algériens voilent leurs soeurs mais violent et tabassent les femmes qui ne sont pas voilées.	Waarabu wa Algeria banafunikaka ba dada yabo lakini banabakaka na kupiga banamuke benye habajifunike.	Waarabu wa Algeria banafunikaka ba dada yabo lakini banabakaka na kupiga banamuke benye habajifunike.
Les sous-marins ont envoyé beaucoup de bateaux par le fond.	Mashua kubwa za kutembelea chini ya maji zilituma mashua mingi chini ya maji.	Mashua kubwa za kutembelea chini ya maji zilituma mashua mingi chini ya maji.
Je sais que la mise sur le marché d'un nouveau produit présenterait un grand défi.	Minajua kama kutia biashara mupya mu soko itakuwa nguvu sana.	Minajua kama kutia biashara mupya mu soko itakuwa nguvu sana.
Les bêtes féroces, les lions surtout, depuis trois ans que la guerre durait, s’étaient multipliés.	Wanyama wakali, sana sana simba, mu miaka mitatu ya vita, waliongezeka.	Wanyama wakali, sana sana simba, mu miaka mitatu ya vita, waliongezeka.
La communauté fait preuve d'un comportement injuste à l'égard des étrangers.	Jamii inaonesha tabia isiyo ya haki kwa wageni.	Jamii inaonesha tabia isiyo ya haki kwa wageni.
Malheureusement, la plupart des maux sont causés par des gens qui n'ont jamais vraiment décidé s'ils étaient gentils ou méchants.	Kwa bahati mbaya, matatizo mingi inasababishwa na watu ambao hawajawahi kuamua kama ni wazuri ao wabaya.	Kwa bahati mbaya, matatizo mingi inasababishwa na watu ambao hawajawahi kuamua kama ni wazuri ao wabaya.
Viens, nous prenons un taxi et rentrons à la maison.	Kuya, tukamate teksi na turudie ku nyumba.	Kuya, tukamate teksi na turudie ku nyumba.
Le serveur rencontre actuellement des difficultés. Nous vous prions de nous excuser pour la gêne occasionnée et vous invitons à patienter jusqu’au rétablissement de la situation.	Serveur inapata shida kwa sasa. Tunawaomba razi kwa usumbufu uliyo sababishwa na tunawaomba kuvumilia mpaka wakati mambo itakuwa muzuri.	Serveur inapata shida kwa sasa. Tunawaomba razi kwa usumbufu uliyo sababishwa na tunawaomba kuvumilia mpaka wakati mambo itakuwa muzuri.
Son rêve secret, presque inavoué à elle-même, était de goûter de cet amour terrestre, et ce sentiment était d’autant plus fort, qu’elle le cachait aux autres et à elle-même.	Ndoto yake ya siri, yenye hajawahi kujiambia yepeke, ilikuwa kuonja hii upendo ya kidunia, na hii hisia ilikuwa nguvu zaidi, kwa gisi aliificha wengine na yepeke.	Ndoto yake ya siri, yenye hajawahi kujiambia yepeke, ilikuwa kuonja hii upendo ya kidunia, na hii hisia ilikuwa nguvu zaidi, kwa gisi aliificha wengine na yepeke.
Elle me reproche d'être collé à mon écran d'ordinateur et de n'être donc pas totalement disponible mais elle regarde la télé trois heures par jours et ne l'est alors pas du tout.	Ananilaumu kwa kubakia mbele ya ordinateur yangu na kwa hivyo kutopatikana kabisa lakini anaangaliaka television saa tatu ku siku na yeye sasa hapatikanaki hata kidogo.	Ananilaumu kwa kubakia mbele ya ordinateur yangu na kwa hivyo kutopatikana kabisa lakini anaangaliaka television saa tatu ku siku na yeye sasa hapatikanaki hata kidogo.
Une personnalité mondaine est quelqu'un qui est bien connu de la haute société à la mode et raffole de ses activités et ses fêtes.	Umaarufu wa kidunia ni mtu anaye julikana ndani ya jamii ya hali ya juu ya mtindo (mode) na anapenda kazi na sherehe zake.	Umaarufu wa kidunia ni mtu anaye julikana ndani ya jamii ya hali ya juu ya mtindo na anapenda kazi na sherehe zake.
Envisagez d'avance les maux avec courage : quand ils arriveront, ils seront moins durs à supporter.	Jitayarishe kupambana na shida na ujasiri: wakati itatokea, haitakuwa nguvu kuvumilia.	Jitayarishe kupambana na shida na ujasiri: wakati itatokea, haitakuwa nguvu kuvumilia.
Qui ne fait que bayer aux corneilles risque de crever de faim.	Mwenye hafanyeke kitu iko na hatari ya kufa na njala.	Mwenye hafanyeke kitu iko na hatari ya kufa na njala.
Plus tard, on ira au parc aquatique.	Baadaye, tutaenda kwenye bustani ya maji (parc aquatique).	Baadaye, tutaenda kwenye bustani ya maji.
Une puce peut sauter deux cents fois sa propre taille.	Chawa inaweza kuruka mara mia mbili ya bukubwa yake.	Chawa inaweza kuruka mara mia mbili ya bukubwa yake.
Aujourd'hui, je suis mon coeur.	Leo, minafuata moyo wangu.	Leo, minafuata moyo wangu.
On peut facilement couper du fromage avec un couteau.	Unaweza kata fromage kwa urahisi kwa kutumia kisu.	Unaweza kata fromage kwa urahisi kwa kutumia kisu.
Les deux petites filles portent des costumes blancs.	Mabinti wawili wadogo wanavala costumes za mweupe.	Mabinti wawili wadogo wanavala costumes za mweupe.
Vous avez le droit de dire tout ce que vous pensez... du moment que vous pensez la même chose que moi.	Uko na haki ya kusema chochote unachofikiria ... wakati unawaza sawa miye.	Uko na haki ya kusema chochote unachofikiria ... wakati unawaza sawa miye.
Étaler son talent et son intelligence produit parfois un résultat inverse.	Kuonesha ujuzi na akili wakati mwengine inapana matokeo ya kinyume.	Kuonesha ujuzi na akili wakati mwengine inapana matokeo ya kinyume.
