fra	lin
Je me souviens de cet homme... Il parlait tant qu'il en était envahissant ! et sa femme était de la même trempe, elle ne savait pas se taire...	Nayebi mobali oyo... Azalaki koloba lokola tshaku! mwasi na ye pe azalaki lolenge moko na ye, ayebaki kokanga monoko te.
Sur la Lune, il y a un cratère qui porte le nom d'Albert Einstein.	Kuna na Sanza, ezali na lobwaku moko o kombo ya Albert Einstein.
Vous devez sortir si vous voulez fumer.	Esengeli kokende libanda soki bolingi komela likaya.
La mort se présente sous différents visages mais le résultat final est toujours le même.	Liwa eyaka na nzela ndenge na ndenge kasi na suka mbuma na yango ezalaka kaka moko.
Il savait reconnaître les ennuis quand il les entendait venir.	Ayebaki kososola ntango mikakatano bizalaki koya.
J’ai aperçu au milieu d’eux Rask attaché à un arbre, tandis que deux milords, nus jusqu’ici comme des païens, se donnaient sur les os de grands coups de poing.	Namonaki o kati na bango Rask yakokangama na nzete. Na ntango wana bamilord mibale, motakala lokola bapagano, bazalaki kobetana makofi na mikuwa.
Vous devriez emmener votre voiture au garage de Enzo. Il fait un plutôt bon travail.	Esengeli komema motuka na yo na garaje ya Enzo. Asalaka mosala malamu penza.
Il n'y a rien de plus odieux pour une femme que ces caresses qu'il est presque aussi ridicule de refuser que d'accepter.	Ezali na eloko te ya mabe po na mwasi koleka bakarese oyo akoki konzima te pe koboya te.
Certains enfants jouent tout le temps aux jeux vidéo.	Boko bana bazali ntango nyonso kobeta masano ya video.
Vous ne devez pas descendre du train avant son arrêt.	Esengeli te kokita engunduka yambo etelema.
L'idée que Dieu ait créé Adam puis Ève à partir d'une de ses côtes est une erreur de traduction de la Génèse, « adama » signifiant simplement « terre » et sa « côte » signifiant en fait « créature », sans précision de sexe...	"Likanisi ete Nzambe akelaki Adamu yambo akela Eva na moko ya mipanzi na ye ezali bemba ya limbola ya buku ya libandeli, ""Adamu"" elingi kaka koloba ""mabele"" pe ""mopanzi"" na ye ezali ""ekelamo"", kasi elobi te moto nani azali mobali to pe mwasi..."
L'homme passe sa vie à raisonner sur le passé, à se plaindre du présent, à craindre l'avenir.	Moto alekisaka bomoyi na ye kokanisa maye maleka kala, koyimayima mpo na lelo, pe kobanga lobi.
Passé cette limite, il n'est pas permis de prendre des photos avec un flash.	Koleka mondelo oyo, epesami te kokanga bafoto na flash.
La rencontre est un élément important des relations humaines.	Bokutani ezali ekolo ya motuya na boyokani o kati ya bato.
Je ne peux pas régler les stations de la radio. Le bouton de sélection des stations de la radio est cassé	Nazali kokota te kobongisa bastasyo ya radio. Esika ya kofina po na kopona bastasyo ya radio ebukani.
Il y eut subitement une période de violence terrible et de haine entre les blancs et les noirs.	Ekomaki mbala moko eleko ya mobulu pe ya boyinani kati ya mindele pe bayindo.
« Sans toi je me meurs. » « Je viendrai à tes funérailles. »	« Soki yo te, nakokufa » « Nakoyaka na matanga na yo. »
Il a des traces de rouge à lèvres sur ses joues.	Azali na bilembo ya rouge-à-lèvre na matama naye.
Mademoiselle Green m'a posé deux questions.	Ndeko-muasi Green atunaki ngai mituna mibale.
Les gens ne vous disent-ils pas que vous ressemblez à Audrey Hepburn ?	Bayebisaka yo te ete okokani na Audrey Hepburn?
Le commandant de l'unité donna l'ordre de déposer les armes.	Mokonzi ya Unite ya basoda apesaki mobeko ete batika mandoki.
Je promets de le rapporter tout de suite.	Nalaki ete nakozongisa yango sika sika oyo.
Le monde physique paraît l'ouvrage d'un être puissant et bon, qui a été obligé d'abandonner à un être malfaisant l'exécution d'une partie de son plan.	Mokili ezali komonana lokola mosala ya moto moko ya nguya pe ya malamu, oyo asengalaki atika moto mabe kokokisa ndambo ya mwango naye.
Ne mettez pas le bébé dans le sac !	Kotiya mwana moke na sac te !
James Allison et Tasuku Honjo ont gagné le prix Nobel de médecine.	James Allison na Tasaku Honjo balongaki prix Nobel ya minganga.
Si vous pensez que c'est à l'école, assis sur une chaise, à écouter un prof, qu'on apprend une langue, alors vous vous fourrez le doigt dans l'œil.	Soki bokanisi ete ezali nde na eteyelo, ofandi na kiti, koyokaka molakisi, nde bayekolaka nkota, na bongo bozali komikosa.
Ça fait les muscles, tu pourras bientôt casser des noix avec les fesses.	Ekomi makasi, kala te okobuka ndika na masoko.
Neil Armstrong fut le premier astronaute à marcher sur la lune.	Neil Armstrong azalaki moto ya yambo oyo atambola na sanza.
Bob se pressa de revenir à la maison pour regarder l'émission de télé.	Bob asalaki azonga nokinoki na ndako mpo na kotala émission na télévision.
La plupart des employés attendent une augmentation de salaire une fois par an.	Basali mingi bazelaka bamatisela bango lifuta mbala moko na mobu.
Ferme-la. Sinon, tu seras virée.	Kanga yango. Soki te, tokobengana yo.
Gabriel était stone.	Gabriel azalaki elema.
Qui prendra en charge notre classe lorsque Mme Smith quittera l'école ?	Nani akokamata kelasi na biso ntango Mme Smith akolongwa na eteyelo?
Ca nous a pris cinq minutes pour traverser le tunnel.	Ekamataki biso minuti mitano mpo na kokatisa nzela ya nse ya mabele.
Pendant l'époque stalinienne, les prisonniers des camps de concentration devenaient esclaves au service de l'État.	Na ntango ya Staline, bakangami oyo bazalaka esika moko bakomaka bawumbu na mosala ya Leta.
Sortir avec elle et manger à notre restaurant préféré me manquait.	Kobima elongo na ye mpe kolia na malewa na biso oyo tolingaki ezangaki ngai.
La vérité est en marche et rien ne l’arrêtera.	Bosolo ezali koya, eloko moko te ekotelemisa yango.
Le détective mit six mois à tirer au clair cette affaire.	Bolopoli esalaki nsanza motoba mpo na kotia polele likambo oyo.
Le sage n'est pas celui qui donne les bonnes réponses, mais celui qui pose les bonnes questions.	Moto ya bwanya azali oyo apesaka biyano ya malamu te, kasi oyo atunaka mituna ya malamu.
L'entreprise assure le service sans pause à midi.	Kopani esalaka mosala na bopemi te na zanga.
Tant pis pour elle ! songeait le jeune homme plein de rancune, si elle souffre, elle l’aura mérité et subira son châtiment !	Etali ye ! Elotoki mwana mobali oyo atondi na nkanda, soki anyokwami, ekokokana na ye mpe akozwa na etumbu na ye !
Si un ami te critique avec de bonnes intentions, alors tu ne dois pas seulement l'accepter avec joie, mais en plus le remercier.	Soki moninga moko atongi yo na makanisi ya malamu, na bongo koyamba yango kaka na esengo te, kasi tonda mpe ye.
La balle est passée à cinq centimètres de mon visage.	Mbuma elekaki na ntaka ya 5 cm ya elongi na ngai.
Je me suis senti mal et me suis rendu à l'hôpital, mais en définitive ce n'était pas grave.	Namiyokaki mabe mpe nakendaki na lopitalo, kasi na nsuka ezalaki likambo ya makasi te.
La société a rappelé toute sa nourriture pour bébé qui avait été produite au mois de juillet.	Kopani ebengaki biloko na yango nyonso mpo na mwana moke (bébé) oyo esalemaki na sanza ya sambo.
Penser ce que nous ne ressentons pas est nous mentir à nous-mêmes, de la même manière que nous mentons aux autres lorsque nous disons ce que nous ne pensons pas.	Kokanisa oyo toyokaka te ezali komikosa biso moko, na lolenge moko tozali kokosa basusu ntango tozali koloba maye tozali kobanza te.
Vous direz aux hussards de passer les derniers et de brûler le pont, comme je l’ai ordonné.	Yebisa basoda baleka bato ya nsuka mpe batumba gbagba, lokola napesi motindo.
Ferme-la. Sinon, tu seras viré.	Kanga yango. Soki te, okolongwa mosala.
Tout ce que vous dites peut être retenu contre vous.	Nyonso bozali koloba ekoki kobalukela bino.
C'est là qu'étaient ses armes, / c'est là qu'était son char ; là, son superbe espoir / veut voir la terre entière adorer son pouvoir.	Wana nde esika mandoki na ye mazalaki, / Wana nde likalo na ye ezalaki; wana, elikiya na ye mpenza / alingi komona mokili mobimba kosambele bokonzi na ye.
Quand j'ai revu mon vieil ami, à qui je n'avais pas donné de mes nouvelles depuis dix ans, il m'a vraiment battu froid.	Ntango namonaki lisusu moninga na ngai ya kala, oyo napesaki ba sango na ngai te eleki mbula zomi, ayambaki ngai malili mpenza.
Ne dites pas que je ne vous aurai pas prévenu !	Boloba te ete nayebisaki bino te !
Lorsque tu entres en classe, tu te tiens debout derrière ta chaise et tu attends que le professeur donne la consigne pour s'asseoir.	Soki okoti na kelasi, telema nsimaa ya kiti na yo mpe zela molakisi aloba ete ovanda.
Jules récupère de ses blessures.	Jules abandi kobika na ba mpota na ye.
Les grandes villes présentent un potentiel trop élevé d'émeutes.	Bingumba minene bizalaka na eposa ya matomboki mingi.
Les deux premiers ours blancs à jamais avoir posé le pied en Islande, ont été abattus, au terme d'un périple de cinq-cents kilomètres à la nage. Drôle de récompense !	Ours mibale ya mpembe ya yambo baye bakomaki na Islande, babomaka bango, na nsima ya kotambola ba kilometele nkama mitano ya konana. Mbano ya kokamwisa!
Si tu lis à nouveau ce livre, tu l'auras lu trois fois.	Soki otangi lisusu buku oyo, okotanga yango mbala misato.
Les cris et les hurlements affolés du foyer et de ses invités excités rendit la confusion indescriptible lorsqu'on découvrit qu'à peine quoi que ce soit du coûteux immeuble pouvait être sauvé.	Makelele mpe kolela ya koleka ya mabota mpe ya bapaya  na ye epesaki kilikili ntango bamoni sika ete ndako moko ya ntalo ekokaki kobikisama.
Au début, ils rejetèrent la proposition, mais un pasteur les pressa d'accepter.	Na ebandeli, baboyaki likanisi yango, kasi mokengeli moko atindaki bango ete bandima.
Dix policiers ont été affectés à la patrouille de cette zone.	Bapulusu zomi batiamaki na bobatelami ya etando oyo.
Il a présenté une excuse de ne pas s'être rendu à la fête.	Asengaki bolimbisi ndenge akendaki na feti te.
Le garçon a cassé la vitre avec une balle de baseball le week-end dernier.	Mwana mobali apanzaki kitalatala na balle ya baseball mposo eleki.
Si vous devez mille livres à votre banquier, vous êtes à sa merci, mais si vous lui devez un million de livres, il est à la vôtre.	Soki ozali na nyongo ya Livres nkoto epa i ya banquier nayo, okomi ya ye, kasi soki ozali na nyongo na  ye yaba livres milioni mobimba, akomi na maboko na yo.
Jean et Pierre sont fous, ils regardent la télé toute la journée.	Joanne mpe Petelo bazali maboma, batalaka television mokolo mobimba.
Bien que je n'aie pas de diplôme universitaire, je suis parvenu à un poste extraordinaire à l'Académie Royale des Sciences de Suède et je peux même participer à la décision sur le prix Nobel.	Atako nazali na lipolome ya université te, nazwaki ebonga ya likolo na Académie Royale des Sciences na Suède mpe nakoki ata kozala mpo na kozwa mokano na oyo etali prix Nobel.
Ma fiancée est venue sans crier gare et je me suis senti gêné.	Mokango na ngai ayei na mpwasa mpe nayokaki nsoni.
À l'aide, à l'aide, appelez un docteur je vous en supplie !	Lisungi, lisungi, bobenga monganga nabondeli bino !
Un matin, Marie vint à moi. Elle était rayonnante, et il y avait sur sa douce figure quelque chose de plus angélique encore que la joie d’un pur amour. C’était la pensée d’une bonne action.	Na ntongo moko, Marie ayaki epai na ngai. Azalaki kongenga, mpe na elongi na ye ya boboto eloko moko ya koleka ya bangelus lokola esengo lokola bolingo ya solosolo. Ezalaki likanisi ya mosala malamu.
La mission d'un avocat est de prouver que son client est innocent.	Mosala ya molobeli ezali kotalisa ete moto na ye azali na mbeba te.
J'espère que mes souhaits pourront se réaliser.	 Nalikei ete matombeli na ngai makokokisama.
Un prisonnier est plus possédé de l'idée de s'enfuir que son gardien n'est possédé de l'idée de le garder. Donc un prisonnier doit toujours réussir à se sauver.	Mokangaki azalaka mingi na likanisi ya kokima koleka mokengeli na ye na makanisi ya kokengela ye. Na boye, mokangami asengeli ntango nyonso akoka kokima.
Bayard dit qu'il n'avait pas peur des fantômes, mais quand il entendit des bruits en provenance du premier étage supposé vide, il se carapata sans tarder.	Bayard alobi ete abangaki bilima te, kasi ntango ayokaki makelele kobima na etage ya liboso oyo bakanisaki kozala mpamba, akimaki na lombango.
Celle qui était préalablement ministre de l'énergie a été, dimanche, élue présidente.	Oyo azalaki na ebandeli ministre ya energie, mokolo ya lomingo, aponamaki prezida.
Aucun des camarades de classe de Kylia ne l'aimait.	Ata moninga moko te ya kelasi ya Kylia alingaki ye.
Un pantalon serré se dit aussi cintré. Collant s'il est étroit, moulé, pas seulement court. On dit aussi effilé, tiré, ajusté.	Pantalon oyo ekangami balobaka ete esili kotiama mokaba. Collant soki ezali moke, kokanga nzoto, kaka mokuse te. Balobaka mpe moke, ebendama, babongisi.
L'homme que j'ai rencontré hier était Monsieur Hill.	Mobali nakutanaki na ye lobi ezalaki mwana mboka Hill.
Selon une étude de l'université Cornell, les accusés au visage peu attirant ont 22 pour cent plus de chances d'être condamnés que ceux qui sont attirants.	Engebene na bolukiluki moko ya université Cornell, bafundami na elongi ya kobenda bokebi mingi te bato ntuku mibale na mibale likolo ya mokama bazali na konzo ya kokweyisama koleka baye bazali na bilongi ya bobendi bokebi.
La police a contacté le FBI pour qu'ils les aident à trouver le criminel.	Pulusu ebengaki FBI mpo basunga bango na kokanga babomi.
"Le panneau dans le parc disait ""Pelouse interdite""."	"Ekomamaki na etanda ya park ""Pasipalumu bapekisa""."
Les policiers de la ville de New York portent un uniforme bleu sombre.	Pulusu ya engumba New York balataka elamba ya langi ya bule mohindo.
Avant de pouvoir écrire des données sur un disque, vous devez d'abord créer une partition, ensuite un système de fichiers par dessus, et finalement monter ce système de fichiers.	Yambo ya kotiya biloko na disque, esengeli yambo okabola yango, na nsima système ya lisanga ya nkasa na likolo, mpe na nsuka kotiya système ya lisanga ya nkasa.
À l'examen oral, réagis vite, évite ce que tu ignores ou connais mal, mais surtout montre ce que tu maîtrises ou connais bien.	Na momekano ya maloba, yanola mbango, kima maye oyebi te to oyeebi malamu te, kasi talisa polele maye oyebi malamu.
Aux États-Unis d'Amérique, il existe des syndromes collectifs qui n'existent pas ailleurs, comme par exemple l'« Abus Rituel Satanique » ou l'« enlèvement par des extra-terrestres » et qui ne sont « révélés » que sous hypnose.	Na  États-Unis d'Amérique, boko makambo ya bato nyonso mazali maye mazwamaka bisika bisusu te, ndakisa « Abus Rituel Satanique » to « konetwama na ba extra-terrestres » mpe maye « mamonisami » kaka lokola na ndoto.
Dans la cour de l’école, un gamin est tombé et s’est mis à crier comme un cochon qu’on égorge.	Na libanda ya eteyelo, mwana moke ya mobali akwei mpe abandi koganga lokola nsombo bazali kokata nkingo.
Un clou qui dépasse se fera taper dessus.	Sete oyo eleki likolo ekobetama.
Mieux vaut le chagrin que le rire, car avec un triste visage on peut avoir le cœur joyeux.	Mpasi na motema eleki koseka, zambi na elongi ya mawa okoki kozala na motema ya esengo.
